state,district,age_0_5,age_5_17,age_18_greater,total_enrolments,child_0_5_share,child_5_17_share,total_demo_updates,total_bio_updates,updates_per_1000,voluntary_share,mandatory_share,voluntary_dominance_ratio,age_transition_stress,child_exclusion_risk,migration_pressure,service_centralization,exclusion_risk_index,fraud_risk_proxy,net_correction_benefit,policy_recommendation
Andhra Pradesh,Annamayya,868,48,105,1021,0.850146915,0.047012733,33634,9712,42454.45642,0.775924516,0.224075484,3.462781839,0.055235903,2345.010251,32909.98043,41.54056401,0.207476636,0.042990654,0.164485981,Proactive Correction
Andhra Pradesh,Bapatla,421,55,16,492,0.855691057,0.111788618,13514,5982,39626.01626,0.693132277,0.306867723,2.258733077,0.130331754,5164.528186,27411.76471,80.37731493,0.452336449,0.094392523,0.357943925,Proactive Correction
Andhra Pradesh,Chittoor,7493,659,43,8195,0.914338011,0.080414887,169579,251405,51370.83588,0.402814827,0.597185173,0.674522486,0.087937016,4517.398031,20690.45876,6.267793543,0.393457944,0.51588785,-0.122429907,Stricter Enforcement
Andhra Pradesh,Cuddapah,5519,413,2,5934,0.930064038,0.069598921,83667,170796,42882.20425,0.328797001,0.671202999,0.489862234,0.074818841,3208.396803,14097.21988,7.225308213,0.287850467,0.700934579,-0.413084112,Stricter Enforcement
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,618,30,17,665,0.929323308,0.045112782,14156,7306,32273.68421,0.65955365,0.34044635,1.937320378,0.048465267,1564.152708,21255.25526,48.4589853,0.139252336,0.114953271,0.024299065,Proactive Correction
Andhra Pradesh,East Godavari,7161,507,10,7678,0.932664756,0.066032821,156025,301850,59634.67049,0.340758197,0.659241803,0.516894097,0.070790282,4221.555143,20318.40083,7.765942243,0.373831776,0.658878505,-0.285046729,Stricter Enforcement
Andhra Pradesh,Eluru,568,45,16,629,0.903020668,0.07154213,17584,8230,41039.74563,0.681154368,0.318845632,2.136313935,0.079086116,3245.674083,27911.11111,65.14245338,0.294392523,0.105607477,0.188785047,Proactive Correction
Andhra Pradesh,Guntur,8769,925,35,9729,0.901325933,0.095076575,177221,291694,48197.65649,0.377937626,0.622062374,0.607555837,0.105473204,5083.56126,18213.87461,4.953510431,0.44953271,0.570093458,-0.120560748,Stricter Enforcement
Andhra Pradesh,Hyderabad,3831,1008,1,4840,0.791528926,0.208264463,36206,105744,29328.5124,0.255059845,0.744940155,0.342389711,0.263048017,7714.807019,7479.033258,6.058358272,0.614018692,0.871028037,-0.257009346,Stricter Enforcement
Andhra Pradesh,K.V.Rangareddy,55,14,0,69,0.797101449,0.202898551,518,773,18710.14493,0.400928793,0.599071207,0.669250646,0.25,4677.536232,7400,267.2877847,0.408411215,0.520560748,-0.112149533,Stricter Enforcement
Andhra Pradesh,K.v. Rangareddy,15,4,0,19,0.789473684,0.210526316,166,404,30000,0.290718039,0.709281961,0.409876543,0.25,7500,8300,1500,0.599065421,0.796261682,-0.197196262,Stricter Enforcement
Andhra Pradesh,Kakinada,858,84,27,969,0.885448916,0.086687307,28269,11698,41245.61404,0.707290833,0.292709167,2.416360373,0.097788126,4033.331291,29143.29897,42.52125158,0.362616822,0.08317757,0.279439252,Proactive Correction
Andhra Pradesh,Karim Nagar,71,11,0,82,0.865853659,0.134146341,1151,1697,34731.70732,0.404001404,0.595998596,0.677856302,0.152777778,5306.233062,13867.46988,418.454305,0.464485981,0.512149533,-0.047663551,Stricter Enforcement
Andhra Pradesh,Karimnagar,552,107,0,659,0.837632777,0.162367223,10331,17127,41666.16085,0.376233657,0.623766343,0.603164409,0.193490054,8061.987723,15653.0303,63.13054674,0.629906542,0.575700935,0.054205607,Proactive Correction
Andhra Pradesh,Khammam,869,264,0,1133,0.766990291,0.233009709,32368,40958,64718.4466,0.441419941,0.558580059,0.790253668,0.303448276,19638.70104,28543.20988,57.07094057,0.890654206,0.422429907,0.468224299,Proactive Correction
Andhra Pradesh,Krishna,6163,540,34,6737,0.914798872,0.080154371,111849,233247,51223.98694,0.324108874,0.675891126,0.479528227,0.087605451,4487.500478,16599.73286,7.602253924,0.392523364,0.71588785,-0.323364486,Stricter Enforcement
Andhra Pradesh,Kurnool,10923,823,24,11770,0.928037383,0.069923534,177645,350633,44883.43246,0.336271175,0.663728825,0.506639402,0.075338704,3381.459622,15091.75091,3.813051776,0.305607477,0.672897196,-0.36728972,Stricter Enforcement
Andhra Pradesh,Mahabub Nagar,1079,432,0,1511,0.714096625,0.285903375,12813,13852,17647.25347,0.480499512,0.519500488,0.924926009,0.4,7058.90139,8474.206349,11.67146394,0.580373832,0.336448598,0.243925234,Proactive Correction
Andhra Pradesh,Mahabubnagar,7,0,0,7,1,0,81,120,28714.28571,0.400990099,0.599009901,0.669421488,0,0,10125,3589.285714,0.038785047,0.519626168,-0.480841121,Stricter Enforcement
Andhra Pradesh,Mahbubnagar,511,211,0,722,0.707756233,0.292243767,9897,14739,34121.88366,0.401712871,0.598287129,0.671438263,0.412109375,14061.94815,13688.79668,47.19485983,0.814018692,0.517757009,0.296261682,Proactive Correction
Andhra Pradesh,Medak,1176,229,1,1406,0.836415363,0.1628734,12963,22445,25183.49929,0.366093366,0.633906634,0.57751938,0.194562447,4899.763243,9213.219616,17.89872018,0.427102804,0.601869159,-0.174766355,Stricter Enforcement
Andhra Pradesh,N. T. R,790,97,46,933,0.846730975,0.103965702,38070,13559,55336.54877,0.737361999,0.262638001,2.807522124,0.122629583,6785.897889,40760.17131,59.24684022,0.561682243,0.06635514,0.495327103,Proactive Correction
Andhra Pradesh,Nalgonda,951,216,0,1167,0.814910026,0.185089974,29844,32653,53553.55613,0.477519281,0.522480719,0.913946224,0.226890756,12150.80685,25551.36986,45.85064737,0.770093458,0.342056075,0.428037383,Proactive Correction
Andhra Pradesh,Nandyal,860,39,6,905,0.950276243,0.043093923,27385,10640,42016.57459,0.72016515,0.27983485,2.573536322,0.045296167,1903.18979,30226.26932,46.37591014,0.164485981,0.075700935,0.088785047,Proactive Correction
Andhra Pradesh,Nellore,4611,754,2,5367,0.859139184,0.140488168,68123,158477,42220.98006,0.300629741,0.699370259,0.429857772,0.163486557,6902.562656,12690.57377,7.865309252,0.56728972,0.771028037,-0.203738318,Stricter Enforcement
Andhra Pradesh,Nizamabad,453,71,0,524,0.864503817,0.135496183,5541,10979,31526.71756,0.33539132,0.66460868,0.504644809,0.156387665,4930.38975,10554.28571,60.05089059,0.431775701,0.675700935,-0.243925234,Stricter Enforcement
Andhra Pradesh,Palnadu,759,76,25,860,0.88255814,0.088372093,25495,10053,41334.88372,0.717179105,0.282820895,2.535806644,0.1,4133.488372,29610.91754,48.00799503,0.370093458,0.078504673,0.291588785,Proactive Correction
Andhra Pradesh,Parvathipuram Manyam,464,36,8,508,0.913385827,0.070866142,9391,10630,39411.41732,0.469034063,0.530965937,0.883359985,0.077419355,3051.206502,18449.90177,77.42911065,0.278504673,0.357943925,-0.079439252,Stricter Enforcement
Andhra Pradesh,Prakasam,6405,1157,61,7623,0.840220386,0.151777515,120498,212299,43656.9592,0.362075493,0.637924507,0.567583608,0.180611926,7884.967499,15805.08919,5.72625383,0.622429907,0.617757009,0.004672897,Proactive Correction
Andhra Pradesh,Rangareddi,1478,405,0,1883,0.784917685,0.215082315,22245,54587,40802.97398,0.289524033,0.710475967,0.407507144,0.273833671,11173.22817,11807.32484,21.6576295,0.74953271,0.799065421,-0.04953271,Stricter Enforcement
Andhra Pradesh,Spsr Nellore,1167,713,303,2183,0.534585433,0.32661475,0,0,0,0,1,0,0.610445205,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Andhra Pradesh,Sri Potti Sriramulu Nellore,689,622,303,1614,0.426889715,0.385377943,22065,10135,19950.43371,0.685227167,0.314772833,2.176894238,0.901449275,17984.30401,13662.5387,12.35320972,0.873831776,0.102803738,0.771028037,Proactive Correction
Andhra Pradesh,Sri Sathya Sai,879,40,19,938,0.937100213,0.042643923,22107,10415,34671.64179,0.679734342,0.320265658,2.122407834,0.045454545,1575.983718,23543.13099,36.92400617,0.141121495,0.106542056,0.034579439,Proactive Correction
Andhra Pradesh,Srikakulam,4157,135,8,4300,0.966744186,0.031395349,135699,192607,76350.23256,0.413329597,0.586670403,0.704534599,0.032467532,2478.903654,31550.56963,17.75173973,0.218691589,0.490654206,-0.271962617,Stricter Enforcement
Andhra Pradesh,Tirupati,802,689,228,1719,0.46655032,0.400814427,33230,10398,25379.87202,0.761649362,0.238350638,3.195499567,0.858032379,21776.75196,19319.76744,14.75573955,0.908411215,0.05046729,0.857943925,Proactive Correction
Andhra Pradesh,Visakhapatanam,186,28,12,226,0.82300885,0.123893805,0,0,0,0,1,0,0.14973262,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Andhra Pradesh,Visakhapatnam,7688,460,30,8178,0.94008315,0.056248472,157193,311303,57287.35632,0.335526161,0.664473839,0.504950145,0.059825725,3427.257629,19219.09769,7.004200553,0.311214953,0.674766355,-0.363551402,Stricter Enforcement
Andhra Pradesh,Vizianagaram,3695,158,3,3856,0.958246888,0.040975104,78887,159998,61951.50415,0.330228645,0.669771355,0.493046832,0.042748918,2648.359755,20452.9427,16.06209597,0.231775701,0.697196262,-0.465420561,Stricter Enforcement
Andhra Pradesh,Warangal,858,201,0,1059,0.8101983,0.1898017,34766,51758,81703.49386,0.401802947,0.598197053,0.671689948,0.233993015,19118.04688,32798.11321,77.07876779,0.88411215,0.51682243,0.36728972,Proactive Correction
Andhra Pradesh,West Godavari,5568,343,24,5935,0.938163437,0.057792755,126806,220414,58503.79107,0.365202566,0.634797434,0.575305673,0.06159095,3603.304065,21362.19677,9.855759951,0.324299065,0.606542056,-0.282242991,Stricter Enforcement
Andhra Pradesh,Y. S. R,738,52,33,823,0.89671932,0.063183475,28186,8608,44707.16889,0.766027993,0.233972007,3.274015565,0.070365359,3145.835971,34206.31068,54.25627293,0.285981308,0.046728972,0.239252336,Proactive Correction
Arunachal Pradesh,Anjaw,23,11,3,37,0.621621622,0.297297297,760,1171,52189.18919,0.393374741,0.606625259,0.648464164,0.458333333,23920.04505,20000,1373.399716,0.922429907,0.538317757,0.38411215,Proactive Correction
Arunachal Pradesh,Changlang,486,304,13,803,0.605230386,0.378580324,5659,8183,17237.85803,0.408798671,0.591201329,0.691471163,0.624229979,10760.38777,7038.557214,21.44012193,0.740186916,0.501869159,0.238317757,Proactive Correction
Arunachal Pradesh,Dibang Valley,7,3,0,10,0.7,0.3,160,471,63100,0.253164557,0.746835443,0.338983051,0.375,23662.5,14545.45455,5736.363636,0.920560748,0.873831776,0.046728972,Proactive Correction
Arunachal Pradesh,East Kameng,88,79,14,181,0.486187845,0.436464088,1422,4297,31596.68508,0.248601399,0.751398601,0.330851559,0.887640449,28046.49575,7813.186813,173.6081598,0.935514019,0.882242991,0.053271028,Proactive Correction
Arunachal Pradesh,East Siang,80,86,2,168,0.476190476,0.511904762,2503,3321,34666.66667,0.429699571,0.570300429,0.75346177,1.061728395,36806.58436,14810.65089,205.1282051,0.958878505,0.455140187,0.503738318,Proactive Correction
Arunachal Pradesh,Kamle,3,25,2,30,0.1,0.833333333,318,143,15366.66667,0.688311688,0.311688312,2.208333333,6.25,96041.66667,10258.06452,495.6989247,0.992523364,0.098130841,0.894392523,Proactive Correction
Arunachal Pradesh,Kra Daadi,18,59,4,81,0.222222222,0.728395062,514,1240,21654.32099,0.292877493,0.707122507,0.414182111,3.105263158,67242.36517,6268.292683,264.0770852,0.985981308,0.786915888,0.199065421,Proactive Correction
Arunachal Pradesh,Kurung Kumey,19,44,12,75,0.253333333,0.586666667,335,3390,49666.66667,0.089908749,0.910091251,0.098790917,2.2,109266.6667,4407.894737,653.5087719,0.994392523,0.963551402,0.030841121,Proactive Correction
Arunachal Pradesh,Leparada,0,2,1,3,0,0.666666667,23,36,19666.66667,0.383333333,0.616666667,0.621621622,2,39333.33333,5750,4916.666667,0.961682243,0.561682243,0.4,Proactive Correction
Arunachal Pradesh,Lohit,102,63,1,166,0.614457831,0.379518072,1866,3891,34680.72289,0.324070858,0.675929142,0.479445015,0.611650485,21212.48099,11173.65269,207.6689994,0.903738318,0.71682243,0.186915888,Proactive Correction
Arunachal Pradesh,Longding,141,719,37,897,0.157190635,0.801560758,1485,2599,4552.954292,0.363525092,0.636474908,0.571153846,5.063380282,23053.33899,1653.674833,5.070105002,0.918691589,0.614018692,0.304672897,Proactive Correction
Arunachal Pradesh,Lower Dibang Valley,58,49,2,109,0.532110092,0.449541284,1157,2248,31238.53211,0.339694656,0.660305344,0.514450867,0.830508475,25943.86565,10518.18182,283.9866555,0.928971963,0.660747664,0.268224299,Proactive Correction
Arunachal Pradesh,Lower Siang,10,18,3,31,0.322580645,0.580645161,339,413,24258.06452,0.450199203,0.549800797,0.81884058,1.636363636,39695.01466,10593.75,758.0645161,0.962616822,0.405607477,0.557009346,Proactive Correction
Arunachal Pradesh,Lower Subansiri,50,55,0,105,0.476190476,0.523809524,1521,2680,40009.52381,0.36197049,0.63802951,0.567325625,1.078431373,43147.52568,14349.0566,377.4483378,0.969158879,0.619626168,0.34953271,Proactive Correction
Arunachal Pradesh,Namsai,95,54,1,150,0.633333333,0.36,2135,6003,54253.33333,0.262317238,0.737682762,0.355596269,0.5625,30517.5,14139.07285,359.2935982,0.945794393,0.861682243,0.08411215,Proactive Correction
Arunachal Pradesh,Pakke Kessang,2,1,1,4,0.5,0.25,87,74,40250,0.537037037,0.462962963,1.16,0.333333333,13416.66667,17400,8050,0.798130841,0.23271028,0.565420561,Proactive Correction
Arunachal Pradesh,Papum Pare,201,241,5,447,0.44966443,0.539149888,4922,9259,31724.83221,0.347059653,0.652940347,0.531533477,1.193069307,37849.92358,10986.60714,70.81435762,0.959813084,0.642990654,0.31682243,Proactive Correction
Arunachal Pradesh,Shi-yomi,8,22,5,35,0.228571429,0.628571429,238,529,21914.28571,0.309895833,0.690104167,0.449056604,2.444444444,53568.25397,6611.111111,608.7301587,0.977570093,0.75046729,0.227102804,Proactive Correction
Arunachal Pradesh,Siang,39,60,4,103,0.378640777,0.582524272,777,1309,20252.42718,0.372304744,0.627695256,0.593129771,1.5,30378.64078,7471.153846,194.7348768,0.944859813,0.58317757,0.361682243,Proactive Correction
Arunachal Pradesh,Tawang,104,43,7,154,0.675324675,0.279220779,951,2464,22175.32468,0.278395785,0.721604215,0.385801217,0.40952381,9081.323438,6135.483871,143.0666108,0.682242991,0.826168224,-0.143925234,Stricter Enforcement
Arunachal Pradesh,Tirap,59,39,1,99,0.595959596,0.393939394,990,1893,29121.21212,0.343273232,0.656726768,0.522703273,0.65,18928.78788,9900,291.2121212,0.881308411,0.652336449,0.228971963,Proactive Correction
Arunachal Pradesh,Upper Siang,21,21,1,43,0.488372093,0.488372093,1321,1796,72488.37209,0.423669019,0.576330981,0.735114079,0.954545455,69193.44609,30022.72727,1647.463002,0.986915888,0.46728972,0.519626168,Proactive Correction
Arunachal Pradesh,Upper Subansiri,76,55,12,143,0.531468531,0.384615385,1549,4166,39965.03497,0.270993702,0.729006298,0.371730262,0.714285714,28546.45355,10756.94444,277.534965,0.939252336,0.844859813,0.094392523,Proactive Correction
Arunachal Pradesh,West Kameng,157,103,18,278,0.564748201,0.370503597,1859,6172,28888.48921,0.231449203,0.768550797,0.30115017,0.651898734,18832.36955,6663.082437,103.5429721,0.880373832,0.914953271,-0.034579439,Stricter Enforcement
Arunachal Pradesh,West Siang,110,80,2,192,0.572916667,0.416666667,3552,4646,42697.91667,0.433223564,0.566776436,0.764364106,0.720720721,30773.27327,18404.14508,221.2327288,0.946728972,0.445794393,0.500934579,Proactive Correction
Assam,Bajali,19,8,2,29,0.655172414,0.275862069,844,23,29896.55172,0.97235023,0.02764977,35.16666667,0.4,11958.62069,28133.33333,996.5517241,0.764485981,0.010280374,0.754205607,Proactive Correction
Assam,Baksa,2120,1179,400,3699,0.573127872,0.318734793,17012,17455,9317.923763,0.493559243,0.506440757,0.97456462,0.555869873,5179.553096,4597.837838,2.518357774,0.454205607,0.306542056,0.147663551,Proactive Correction
Assam,Barpeta,10545,3306,532,14383,0.733157199,0.22985469,59142,95421,10746.22819,0.382637613,0.617362387,0.619794177,0.313483785,3368.76829,4111.651835,0.747095953,0.302803738,0.564485981,-0.261682243,Stricter Enforcement
Assam,Biswanath,789,464,76,1329,0.593679458,0.349134688,11025,9548,15480.0602,0.535870516,0.464129484,1.154571159,0.587341772,9092.085988,8289.473684,11.639143,0.68317757,0.234579439,0.448598131,Proactive Correction
Assam,Bongaigaon,2324,626,225,3175,0.731968504,0.197165354,39124,36608,23852.59843,0.516604386,0.483395614,1.068698954,0.269247312,6422.248006,12318.6398,7.510263988,0.525233645,0.260747664,0.264485981,Proactive Correction
Assam,Cachar,11474,4513,1527,17514,0.655133036,0.257679571,58019,66145,7089.414183,0.467273386,0.532726614,0.877135428,0.39328976,2788.194005,3312.532115,0.404762443,0.248598131,0.361682243,-0.113084112,Stricter Enforcement
Assam,Charaideo,659,336,194,1189,0.554247267,0.282590412,9913,8293,15312.02691,0.544460922,0.455539078,1.19520135,0.509090909,7795.213701,8330.252101,12.86724951,0.61588785,0.222429907,0.393457944,Proactive Correction
Assam,Chirang,2013,1071,264,3348,0.60125448,0.319892473,13397,27087,12091.99522,0.330912684,0.669087316,0.494573243,0.531777557,6430.251679,4000.298597,3.610628612,0.528037383,0.695327103,-0.16728972,Stricter Enforcement
Assam,Darrang,4390,1914,1291,7595,0.57801185,0.2520079,28319,26265,7186.833443,0.518805533,0.481194467,1.078161882,0.435891596,3132.680303,3728.146393,0.946133945,0.28411215,0.257943925,0.026168224,Proactive Correction
Assam,Dhemaji,3864,1846,1191,6901,0.559918852,0.267497464,22349,20730,6242.428634,0.518779016,0.481220984,1.078047369,0.477619664,2981.506664,3238.046943,0.904437646,0.272897196,0.258878505,0.014018692,Proactive Correction
Assam,Dhubri,8432,3849,365,12646,0.666772102,0.304365017,80799,59475,11092.36122,0.576004277,0.423995723,1.358514359,0.456421202,5062.788846,6388.787855,0.877074502,0.445794393,0.18317757,0.262616822,Proactive Correction
Assam,Dibrugarh,3895,1675,1492,7062,0.551543472,0.237184933,26519,26735,7540.923251,0.497962633,0.502037367,0.991883603,0.429928131,3242.055043,3754.63684,1.067665758,0.293457944,0.297196262,-0.003738318,Stricter Enforcement
Assam,Dima Hasao,119,103,28,250,0.476,0.412,280,25,1220,0.91503268,0.08496732,10.76923077,0.858333333,1047.166667,1115.537849,4.860557769,0.107476636,0.01588785,0.091588785,Proactive Correction
Assam,Goalpara,6881,2220,797,9898,0.695190948,0.224287735,40567,27624,6889.37159,0.594893829,0.405106171,1.468488688,0.322580645,2222.377932,4098.090716,0.69596642,0.196261682,0.158878505,0.037383178,Proactive Correction
Assam,Golaghat,5537,4047,1921,11505,0.481269013,0.351760104,27924,20154,4178.878748,0.58079411,0.41920589,1.385462664,0.730769231,3053.796008,2426.9077,0.36319127,0.279439252,0.178504673,0.100934579,Proactive Correction
Assam,Hailakandi,3826,1441,311,5578,0.685908928,0.258336321,21302,21123,7605.772678,0.50209777,0.49790223,1.008426434,0.376535145,2863.840718,3818.246998,1.363286015,0.255140187,0.285046729,-0.029906542,Stricter Enforcement
Assam,Hojai,5288,1607,155,7050,0.750070922,0.227943262,25308,29002,7703.546099,0.46598295,0.53401705,0.872599386,0.303838155,2340.631231,3589.278117,1.092546603,0.206542056,0.36728972,-0.160747664,Stricter Enforcement
Assam,Jorhat,2905,1122,860,4887,0.594434213,0.229588705,19788,16279,7380.192347,0.548630365,0.451369635,1.215479115,0.386097729,2849.475504,4048.281506,1.509859318,0.254205607,0.21588785,0.038317757,Proactive Correction
Assam,Kamrup,9311,3370,985,13666,0.681325918,0.246597395,44584,43252,6427.337919,0.507576534,0.492423466,1.030772432,0.361898625,2326.044758,3262.164337,0.470281548,0.205607477,0.272897196,-0.06728972,Stricter Enforcement
Assam,Kamrup Metro,2654,2055,1337,6046,0.438967913,0.339894145,26191,26762,8758.35263,0.494599086,0.505400914,0.978627209,0.774011299,6779.0639,4331.238631,1.448379797,0.560747664,0.304672897,0.256074766,Proactive Correction
Assam,Karbi Anglong,2918,4107,1082,8107,0.359935858,0.506599235,31121,39206,8674.848896,0.442512228,0.557487772,0.793761318,1.406988695,12205.41433,3838.307844,1.069912296,0.771962617,0.419626168,0.352336449,Proactive Correction
Assam,Karimganj,9336,4903,594,14833,0.629407402,0.330546754,41414,35646,5195.172925,0.537418409,0.462581591,1.161780795,0.525115133,2728.063923,2791.829581,0.350220637,0.242990654,0.231775701,0.011214953,Proactive Correction
Assam,Kokrajhar,2519,1572,518,4609,0.546539379,0.341071816,22669,28859,11179.86548,0.439927031,0.560072969,0.785481635,0.623809524,6974.106562,4917.353579,2.42513351,0.575700935,0.428037383,0.147663551,Proactive Correction
Assam,Lakhimpur,4726,1825,648,7199,0.656480067,0.253507432,35412,29772,9054.590915,0.543253816,0.456746184,1.189399792,0.386079966,3495.796154,4918.333333,1.257582072,0.31682243,0.223364486,0.093457944,Proactive Correction
Assam,Majuli,347,157,11,515,0.673786408,0.304854369,3281,3382,12937.86408,0.492346939,0.507653061,0.969849246,0.451149425,5836.909943,6358.527132,25.07338,0.493457944,0.308411215,0.185046729,Proactive Correction
Assam,Marigaon,6735,2928,824,10487,0.642223706,0.279202823,43810,33936,7413.559645,0.563494411,0.436505589,1.290921413,0.434679335,3222.521176,4177.154844,0.706861141,0.288785047,0.198130841,0.090654206,Proactive Correction
Assam,Nagaon,9002,3478,393,12873,0.699293094,0.270177892,97377,117879,16721.51014,0.452375533,0.547624467,0.826068884,0.386315673,6459.781435,7563.849619,1.298858951,0.531775701,0.402803738,0.128971963,Proactive Correction
Assam,Nalbari,2709,977,195,3881,0.698015975,0.251739242,20961,20251,10618.91265,0.508601655,0.491398345,1.035008888,0.360516605,3828.29434,5399.536321,2.735423146,0.343925234,0.271028037,0.072897196,Proactive Correction
Assam,North Cachar Hills,501,420,137,1058,0.473534972,0.396975425,3599,4024,7205.10397,0.47206191,0.52793809,0.894161491,0.836653386,6028.174636,3398.489141,6.803686468,0.500934579,0.348598131,0.152336449,Proactive Correction
Assam,Sibsagar,1561,514,662,2737,0.570332481,0.187796858,13070,11380,8933.138473,0.534538465,0.465461535,1.148405237,0.329065301,2939.585899,4773.557341,3.262651013,0.265420561,0.238317757,0.027102804,Proactive Correction
Assam,Sivasagar,204,113,105,422,0.483412322,0.267772512,0,0,0,0,1,0,0.551219512,0,0,0,0.038785047,0.98271028,-0.943925234,Stricter Enforcement
Assam,Sonitpur,5501,2723,973,9197,0.598129825,0.296074807,43576,30117,8012.72154,0.591310012,0.408689988,1.44684242,0.494910941,3965.583561,4737.551642,0.871137371,0.357943925,0.163551402,0.194392523,Proactive Correction
Assam,South Salmara Mankachar,1062,364,46,1472,0.721467391,0.247282609,21047,4848,17591.71196,0.812751004,0.187248996,4.340482574,0.342427093,6023.878788,14288.52682,11.94277797,0.5,0.028037383,0.471962617,Proactive Correction
Assam,Sribhumi,115,43,11,169,0.680473373,0.25443787,5087,357,32213.01775,0.934251607,0.065748393,14.20949721,0.370689655,11941.03244,29923.52941,189.4883397,0.763551402,0.014953271,0.748598131,Proactive Correction
Assam,Tamulpur District,22,33,0,55,0.4,0.6,1268,70,24327.27273,0.946975355,0.053024645,17.85915493,1.434782609,34904.34783,22642.85714,434.4155844,0.955140187,0.014018692,0.941121495,Proactive Correction
Assam,Tinsukia,3884,2867,1633,8384,0.463263359,0.341960878,35249,19249,6500.23855,0.64678251,0.35321749,1.831116883,0.737966538,4796.958538,4203.816339,0.775222248,0.421495327,0.119626168,0.301869159,Proactive Correction
Assam,Udalguri,2658,1322,585,4565,0.582256298,0.289594743,19780,22348,9228.477547,0.469510314,0.530489686,0.885050785,0.497179391,4588.208844,4332.019273,2.021129555,0.400934579,0.356074766,0.044859813,Proactive Correction
Assam,West Karbi Anglong,390,987,507,1884,0.207006369,0.52388535,1451,3392,2570.59448,0.29954583,0.70045417,0.427645152,2.524296675,6488.943099,769.7612732,1.363710599,0.536448598,0.774766355,-0.238317757,Stricter Enforcement
Bihar,Araria,9939,5515,125,15579,0.637974196,0.354002182,155315,155444,19947.30085,0.499790835,0.500209165,0.999163691,0.554828974,11067.34046,9968.870347,1.280314561,0.745794393,0.292523364,0.453271028,Proactive Correction
Bihar,Arwal,812,3020,34,3866,0.210036213,0.781169167,27770,30704,15125.194,0.474903805,0.525096195,0.904412962,3.714637146,56184.60747,7181.277476,3.911350918,0.98317757,0.346728972,0.636448598,Proactive Correction
